리뷰내용,별점,리뷰동조자수
업뎃이후로 로딩이 안되요 아무것도 안보여요 수정 부탁드려요 굉장히 좋은 어플인데ㅠ,5,0
모든 브랜드가 모여있어 한번에 볼수있고 쉽고편해서 좋네요,5,0
이용한지 얼마 되지는 않았지만 좋아요^-^ 처음에는 이게 뭐지 했는데 이 어플은 필요한게 있을때 검색하기 좋은 어플인것 같네요~~,4,2
여러 쇼핑몰이 있어 다양하게 원하는 상품을 쉽게 볼 수 있어요,5,0
로딩시간 긴거랑 지그재그처럼 옷을 분류해서 볼수있으면 좋을듯,4,2
원하는 것들을 쉽게 찾을 수 있어서 너무 좋은 앱인거 같아요,5,1
깐깐하게 앱 따져서 이 앱으로 정착하게 되었습니다...이 앱 딴말없이 정말 짱짱입니다,5,3
제가 딱 찾던 사이트였어요!! 가끔씩 이용하겠지만 분리가 잘 되있어서 너무 좋아요😍,5,1
페북 로그인하려고 하는데 서버에 요청중이라고만 뜨고 계속 기다려서 가입 완료 눌러도 안되네요 왜 이런지 알려주세요,4,2
패션앱처음이용해보는데 편하고 좋네요 보기에도 깔끔!!,4,0
이어플은처음인데신세계네요..제가찾던브래드전부있어요 없는거 찾는게힘드네요ㄹㅇ,5,29
일일이 웹사이트에 치지 않아도 보고싶은 상품들을 한번에 볼 수 있어서 너무 좋아요!,5,1
재부팅해도 닉네임이 예전설정 그대로 표시되요. 닉네임 수정 어케해야 하나요? 흑~~~보아하니 칭찬하는 글에만 답글을 다네요. 뭐죠?,1,1
다양한 브랜드 제품들을 한눈에 볼수 있어서 좋네요~,5,2
다 좋은데 며칠전부터 상세검색하려하면 자꾸 튕기네요,4,0
옷을 간편하게 빨리 찾을수 있어서 좋은 앱인것 같아요 ㅎ,5,0
괜찮아요. 여러 쇼핑몰을 한눈에 신상을 볼수있어서 좋아요,3,0
"어플은 정말 많지만, 필터가 유용해 자주보게되요",4,1
카테고리가 잘 정리가 되어있어서 보기 편하구 좋은것 같습니당,5,1
빠르고 쉽게 제가 원하는 옷 찾을수 있어서 좋네요!,4,0
Play store에 있는 그 어떠한 앱보다도 재밌고 유용합니다 ㅎㅅㅎ sns보다 더 오래 보고 있는다는게...단점?이랄까,5,0
쇼핑몰들을 한눈에 볼 수 있고 비교할 수 있어서 좋아요,4,0
상당히 좋은 앱인것 같아요! 브랜드하고 소호몰이 같이 있는게 너무 좋네용ㅎㅎ,5,6
본인이 좋아하는 브랜드만 모아서 볼 수도 있고 신상품 알림도 뜨니까 좋은것같아요 강추드립니다,5,0
일단 아직까지는 무난하고 좋은 거 같아요 보세 말고 브랜드들도 같이 나오는게 상당히 좋아요,5,0
심심할때 보는 재미도있고 옷살때 유용하게 사용할거같아요!,5,0
쇼핑몰을 모아서 볼수있어 엄청 편리하네요,5,0
렉이 걸려서 검색이 전혀 안돼요. 폰을 껏다 켜도 안되고 빨리 고쳐주세요ㅠㅅㅠ,5,0
"브랜드별 상품, 사이트접속까지 편리해서 좋아요!",5,0
ㅈ잘쓰고 있는데 마이샵에 추가한 쇼핑몰들 한참전부터 신상들이 안떠요...ㅜㅜ 다른 어플에선 다 뜨는데ㅠㅠㅠ 확인 부탁드립니다,5,3
정말 유용한 앱!! 여러 쇼핑몰과 연결되어있어 진짜 좋아요,5,0
좋아하는 메이커 브랜드 명품 보기 쉽게 되어 있어서 넘 좋아요,5,1
진자 브랜드같은거 하나도 몰라서 사고싶어도 못샀는데 덕분에 잘 찾아서 사게됨 지그재그랑 이거만있음 쇼핑 개꿀잼,5,7
다른 앱들에 비해 원하는 스타일 파악이 쉽네요 맘에 들어요,5,0
모든 브랜드가 한곳에 모여있어서 정말 편해요!!!! 추천합니다,5,0
맘에 드는 상품만 선별이 되어 있어서 정말 잘 이용하고 있어요~~~!!!,5,3
맨날 여기서 보고 옷삼ㅎㅎ 네트워크느리면 좀 느리게되서 아쉽지만 다맘에들어연,5,0
진짜 너무너무 좋아요 요즘 폰하면 온종일 이것만 봐요...,5,0
자세하고 분류그 잘되어있어서 너무 좋네요.,5,0
브랜드별로 다양한 옷을 볼 수 있어서 좋아요~~,5,0
처음 써보는데 디게 재밌고 찾고 싶은옷을 잘찾을수 있는것 같다.,4,0
정리가 깔끔합니다 이정도 편리함은 많지 않은듯,5,0
검색이 약간 불편하긴한데 잘사용중이에요,5,0
앱이 브랜드별로 정리된게 너무 폌하고 좋아요,5,0
