리뷰내용,별점,리뷰동조자수
빨라서 좋은것같아요ㅎ,5,0
최고,5,0
너뮤편하쟈나~너뮤싸자냐~,5,0
오래 서비스해주세용~^^,4,1
완성도가~ 대박,5,0
호식이 탈출!!!!!!!!! 정말좋내요 좋아요,5,1
구우웃,5,0
정말좋아욤,5,0
대박이에요,5,0
좋다,5,0
확실히 쌉니다,5,1
아이쇼핑 잼~,5,0
옹,5,0
너무  편리함  쇼핑하러갈시간도없는데 주문하면  다른곳보다  빠른것같에요,5,1
완전 내스타일이에요 대박,5,1
싸게 너무 잘삿어요~^^ 진심 제가  원했던 스타일의 옷을 싸게 사서 기분이 좋네요ㅎㅎ 앞으로 자주 이용해야 겠네요ㅎㅎ,5,7
평소에도 괭장히 옷에 대한 고민을 많이햇는데 이제서야 해결을햇어요 감사합니디 ㅠ,5,0
관심상품 너무 편해요 ㅎㅎ 이 어플 정말 짱짱이에요~,5,1
스타일 좋고 가격도 적당하고 스타일 참고도 하기 좋은듯 애용 해야지,5,0
상품이 다양하고 정말 좋아요,5,0
스타일링하기 좋고 신선하고 패셔니스타되는 기분이네요,5,0
"앱설치도빠르고,보기도편해서물건찾아서결제하기넘좋아요.게다가여가가제일싸요~~",5,0
오늘첨설치했는데좋은어플같아여,5,1
굿이에요 ㅎㅎ좋아요,5,0
대박 남자인데 다른앱이랑 비슷한듯 다른앱이에요 믿고 사용해봐요 짱짱~~,5,0
너무예쁨..! 페북보고왔는데 더 좋아. 구매하고 싶은 아이템을 한눈에 볼 수 있구 취향에 따라 선택할 수 있어서 좋아요. 인터넷쇼핑 자주하는데 꼭 필요한 어플이네요,5,5
아주좋네요,5,0
여태산것중에 최고 맘에들어서 좋아여,5,0
인생템들도 대박ㅇ🖒🖒꼭 죽기전다운받아야하는 버킷리스트에올릴만한 어플!~,5,0
물건이 맘에 쏙들어 계속 사용하고 있네여....  또 구매하께여!,5,3
매우깔끔하고심플하네요 ㅋㅋㅋ아주좋아요 ^^,5,1
렉도안걸리고 서비스 너무좋아요,5,1
진짜 친절하다  별 100개는없나...  암튼잘씁니다ㅎㅎ  옷쇼핑하기편리하네요,5,2
생각보다 저렴하고 스타일이 좋은 제품들이네요..^^,5,0
좋네요~~,5,1
이리 저리 보아도 몽땅 좋은것 뿐이네여!!!!,5,0
대박캡짱좋은앱!!! 내게 꼭 필요한 앱,5,1
와우 나의 인생앱ㅋㅋㅋㅋㅋㅋ,5,1
재미있어요,5,0
.,1,0
좋네요,5,1
맘에드는옷이정말많아요~쇼핑하기딱좋은앱이네요,5,0
내가 사고 싶은 신발있었는데 이앱 덕분에 그 신발 삼 개꿀&gt;&lt;,5,2
하나하나 다른쇼핑몰 들어가서 맘에드는 옷고를필요없이 이거하나면 다되네요 귀찮음도 덜어주고 신상품도 매일 올라오고 너무좋네요 앞으로 자주 써야겠어요.,5,117
이거  쇼핑물  한눈에  보니까  비교하기도 쉽고  신상품도  대박  매일매일  들어오네  심지어  옷도  예쁨  이  앱   추천합니다   자주 써야지~~,5,1
원하는 스타일을 쉽게 찾을수있어 짱이네요~아 기분조아ㅠ 너무좋음,5,1
설명도 잘해주시고 택비도 빠르네요 굿^^,5,0
단돈만원으로 패션룩을 맞출수있어정말좋아요그리고코디도너무좋아요~ ㅋㅋㅋ자주이용해야겟네요,5,1
"진짜 이앱이 최고인듯. 제가 옷고르는것도 여기저기보고나서 한번사는성격인데요, 여기는 와 한번에 다 모아져 있으니깐 편하고, 또 가격비교할수도있고..ㅎㄷㄷ 대박이에요!",5,89
기존에는 옷찾기가 귀찮아서 이러지도 저러지도 못했는데 요놈은 직관성도 좋고 사용하기 참 편리하네요 개발자니무감사합니다^^,5,3
남여로 구분되어 있어 상품 찾기가 더 편리하고 종류도 풍부하네요.,5,0
이렇게 좋아요 되는건가요ㅠㅠ 정말 최고네요~ 여기저기서 옷을 비교해보고 구경했다가 담았다가 지르는게 취미인데 여기는 다 모여있고 너무너무 편하고 좋아요~ ^^ 대박 추천^^,5,1
딱내게필요한아이템들을찾아주네 이앱 닥추 ㅋㅋ,5,0
매일업데이트되는상품들도많이나와요.게다가인기있는옷들도있습니다.,5,0
어플 내용이 알차고 남녀 구분도 확실하고 디자인도 이쁘고 빠르고 아주 편리해요.필터링과 신상도 구분된점도 좋아요.,5,3
스타일에 관심 많은이 많은데 정말 유용한 앱!,5,1
가을 패션에도 독특하고 인기있는 옷들을 구매하게 해주시니 감사합니다.,5,2
이제부터여기저기안다녀도될듯이곳에서한방에해결~~고민끝,5,0
여러 쇼핑몰의 물건을 한 번에 볼 수 있어 선택도 편리하고 좋네요.                    신상품도 업데이트가 잘 되서 찾아보기 쉽네요.,5,18
최저가로 같은 제품 구매!   언능 알피 주새영 ㅋㅋㅋ,5,0
ㅎㅎㅎㅎ 이거야말로! 인생앱입니다 옷은 이곳에서 골라보세요 ㅎ믿고 쓸려고 합니다,5,0
이앱 좋네요.  구성도 좋고  대만족입니다.,5,0
다른 어플 보다는 이걸로 편하게 하는것이 이득이네 평생가자,5,0
진짜 좋아요 ㅠㅠ 쇼핑몰들이 많아서 알아보기 힘들어서 인터넷에서 옷 구입하는게 힘들었는데 이 어플 알게 된 후로 전혀 힘들지 않아요!! 진짜 계속 쓸거같아요ㅠㅠㅠㅠㅠ,5,11
진짜로~,5,0
보기쉽게 정리되어있어편하고 예쁜옷 찾기도 쉽네요!ㅎㅎ 강추합니다,5,2
최신트렌드 알고싶은 분 ㄱㄱ,5,0
긴 말이필요없이 좋은어플이네요^^,5,0
고민없이 한번에 해결하세요. 참 좋은 어플이에요~~,5,0
옷을 봤는데 제 스타일인듯ㅋㅋㅋ,5,1
왜 앱이안열리죠ㅜㅜ,5,1
다른앱 보다  종류가 많아보이네요,4,0
스타일닷컴 간편하게 기분좋게 사용할수있어서조아요,5,0
여러 쇼핑몰을 한 번에 볼 수 있어서 찾기도 쉽고 간편하네요!,5,0
옷사는거 아까워했는데 여긴 싸고 좋은 옷 많아서 살맛나네요!,5,0
아니 옷도 예쁜데 가격도 예뻐요!! 인생앱 찾았어요 자주 이용할게요~♡,5,1
항상 좋은 어플 운영 부탁드려요,5,1
다른앱과는 차별화 되어있고 매일 업데이트 되서 신상품이 많아서 좋습니다 추천!!,5,0
쇼핑몰이 다양해서 보기도좋고 찾는스타일을 바로바로 찾을수있어서 너무좋네요!  이앱하나면 다른게필요없네요~~한눈에 다양하게볼수있어서 좋네요^^,5,0
쇼핑할때 편리한 앱이네요 꼭 설치해보세요!,5,0
진짜 옷고른다고 고민하지마세요ㅜㅜ저 선택장애라 인터넷으로 옷 살 때 항상 고민하다가 못 사는데 이 앱이 옷 고르는데 도움 많이됬어요!!,5,1
다른 앱보다 너무 좋아요! 다운받길 잘한 듯!,5,0
하나하나 다른쇼핑몰에 서 구입이편리해 최고네요ㅎ,5,0
여러 쇼핑몰 볼 필요없어요.,5,0
우왕 이거 강추임,5,0
여러 쇼핑몰 한번에 검색해서 좋아요 혹시 특정상품에 대하여 최근 몇주간 가격변동에 대한 가격추적이나 자신이 원하는 목표가격 도달하면 알려주는 서비스는 없을까요?,5,0
매일 옷고르기 힘들었는데 이앱을 다운받고 참고하면 정말 좋은 앱인거 같습니다!!,5,0
여러쇼핑몰도 한번에 볼수 있고. 매일매일 신상품이 업데이트가 되어서 참 좋네요. 마음에 드는 쇼핑몰과 상품도 팔로우 할수 있어서 참편리해요! 스타일 닷컴강추합니다!,5,0
애드퀘스트 미션으로 한번해봤는데 진짜 옷 제가 사고싶은게 딱딱 있어서 좋네요 미션으로 옷도 사니 좋네요,5,2
이 어플 제가 좋아하는 사이트 다 있네요 한눈에 알기쉽게 되어있고 너무 좋아요 자주 들어와서 겟해야겠어요,5,0
여러곳 사이트를 한번에 볼수있어서 편리하고 좋네요 강추!,5,0
진작에 알았음 좋은 물건 많이 샀을텐데 이제라도 알아서 다행이네요 좋아요,5,1
똑순이처럼 싸게 구매!합시다 굿굿좋네요ㅎㅎ,5,0
굿~~🖒🖒    이리저리 돌아다니지않고 해결~  보기편하게 잘되어있구 너무좋네요,5,0
쇼핑몰 일일이들어가는 수고를덜어줘서 진짜 편리해요!!한눈에 비교하면서보기 참 좋은것같아요!!,5,1
신선해요! 새로워! 이런앱은처음이라서  완전신선하고좋아요♡,5,0
여러가지스타일이 나와있어서  제가 원하는 물건을 찾기가 쉬운것같아요~^^,4,18
품목을 알아볼수있게 잘되어있어 좋아요.,5,0
옷이 다 한결같다고 생각하고 들어왔는데...  은근히 귀엽고 꾸민거티안나게하기에 좋은 그런 스타일이 많네요. 넘좋아요,5,1
택배상자의쾌감굿,5,0
그동안 고르기 힘들었던 물건들을 쉽게 추천해주는 앱입니다.,5,0
넘좋아용ㅋㅋ,5,0
다른사이트보다 더 좋은듯!^^ 자주 이용해야겠네요,5,0
여기저기가서  옷 고를려면 엄청 피곤한데 여긴  한곳에 다볼수있어 편하네요 이쁜옷도 많구요~~^^,5,1
제가 살짝통통한편인대옷도괞찬고 디자인도이쁜듯ㅋ 자주이용해야겠어요,4,16
이 앱 진짜 최고에요 여러 쇼핑몰들을 모아 한번에 볼수있어요 그리고 먀일 업대이트 되는 신상품도 많아요!!,5,0
맨날 아이쇼핑하고잇습니닿,4,0
모든것을 보기편하게 정리해서 넘좋아요,5,0
최고네요  여러상품들  많이볼수있고 상품들 대박이네요,5,0
몇만원으로 스타일 코디 바로 알수있고 요즘에 핫한 남친룩도 많네요ㅋㅋㅋㅋㅋ 좋습니다,5,1
ㅇ쁜거너무많고딱젤스타일입니다,5,0
왜 이런 좋은 어플을 이제서야 알았을까요.인기있는 쇼핑몰을 한번에 다 볼수있어서 손쉽게 맘에 드는옷을 고를수 있게 되었네요.굿!굿!굿👍👍👍,5,3
내가 원하는옷이 여기에 있어 서좋고 쓰기너무 편리함,5,0
이쁜옷도많은거같고찾기도쉽게만들어진거같아요정말좋네요,4,0
여러가지  좋은 스타일이  나와있어  원하는     물건을 찾기  쉬은것 같아요,4,0
우와~이어플 엄청 좋아요~최고!^^,5,0
레알 꿀템 찾아줌 ㅋㅋ,5,15
애드퀘스트에서 보고 설치해봤는데 생각보다 너무 좋음 이건 꼭 설치해야되는 인생 앱이에요!!!! 여기저기 들어가 보면서 옷 찾을 필요도 없고 너무 편하게 잘 돼있어요 진짜추천!!!!,5,4
한번써보세요! 좋아욤,5,0
너무좋네요 ㅎㅎㅎ 스타일닷컴 최고예요!!!!야태써본어플중 짱!!^^추천합니다,5,0
진ㄴ쟈 인생앱임미다 쟝쟝좋고 효율성도 높은것같아요 !,5,0
너무좋아요 이쁜옷도 많고 스기편해서 좋아요 ㅎㅎㅎ,5,0
최강이구요 잘사용  할께요.,5,1
다양한스타일의옷들을찾아볼수있어서좋네요,5,1
"쇼핑몰, 이 어플하나면, 해결됩니다^^ 시간절약!최고~~~☆☆☆☆☆",5,0
고객응대가 좋네요ㅎㅎ조아,5,0
멋진 스타일을 알수있어 좋네요,5,0
꺄~ 대량구매 가능! 써본 앱중에 제일 좋아요,5,0
멋진옷도있구 주변친구들한테도 알려주고싶네요!,5,0
여러 앱중 최고가 아닌가 싶네요ㅋ스타일도 좋구 비교도 할수있고 앞으로 오래오래 이용 하고싶어지네요,5,1
구우우우우구우우웃! 배송 빠름 좋아요,5,1
이 앱을 써보니 옷도 종류가 다양해서 좋아요 여러분도  한번 해보세요,5,1
정말 좋아요!!쓸만하네요,5,0
반신반의햇는데 완전 만족!,5,0
이앱하나있으면 다른쇼핑은필요없겠네요정말좋아요  굿굿~^^,5,0
이것만 쓰는중입니당~,5,0
옷고르기도 유용한 정보가 많네요 좋은앱 입니다!!,5,1
인터넷으로쇼핑할땐 좀 예민하게보는편인데~ 이거 좋네요7~~~앞으로 자주이용할듯해요,5,1
모던한 상품이 많아서 조아요!,5,0
맘에들어요,5,0
키작은 사람들도 입을수 있는지 모르겠네요..,4,0
스타일 많이 나와있어서 편리한앱!,5,0
가격비교가 되니까 진짜 좋다,5,0
좋아요~^^추천합니다~~ 옷 너무 예뻐요~^^,5,0
왘ㅋㅋㅋㅋㅋ싸고 간편 넘 유용한 앱이예요,5,0
속안썩이는쇼핑앱좋아요~,5,0
한눈에 알기 쉽고 검색 간편하네요,5,0
불편한기없어요 아주 좋아요.,5,0
와진짜여기인생템들장난없다 가서확인해봐야지아는곳다른곳에 돌아다니는 귀찮은짓안함,5,0
비교가능하니까 너무 좋아요,5,0
그냥 최고임 가격 완전 착함,5,0
사용하고나니좋네요!추천 이쁜옷들이많네요~,5,0
여러가지 쇼핑몰을 한번에 다 볼수있는게 좋은것같요!!,5,0
너무편리하고 좋아요,5,0
편리하게 잘 구성되어잇음~,5,0
아이템들이 많이있네요.. 자주들러서 구경도하고 구입도해야겠어요~~,5,0
메뉴에 인기순 가격순같은게 있었으면 좋갰네요,3,2
이어플 너무 좋네요! 간편하고 보기도 쉽고 추천합니다^^,5,0
친절하시네요! 좋아요!느므느므좋네요,5,0
핫한 여러가지 쇼핑몰 상품을 한곳에서 볼수 있어 좋네요 굿굿~~~,5,0
이게 진정한 쇼핑앱이지~이게 진정한 쇼핑앱이지~이게 진정한 쇼핑앱이지~,5,0
너무 너무 좋네요 대박이에요 번창하시구 대박나세요~~^^,5,0
쇼핑하기 좋아요~~^^,5,0
이렇게 좋을수가!?원하는거 찾기만 하면 촤라락 나와서 한번에 비교하고 좋아요,5,0
좋은 이벤트가 많아요!,5,1
렉 없고 싸고~보기편하고! 완전 짱입니다,5,0
너무 너무 좋아요,5,0
신선하고 매우 좋네요!! 여러 상품들 굿!,5,0
짱이다…!최고! 좋아요,5,0
자주이용해요..짱,5,0
요런앱이있엇네! 좋다!!,5,1
쇼핑할맛나는군~,5,0
매일매일 신상 업댓  너무너무좋아요!,5,11
대박!!!좋은것만다모아놨어요,5,0
이앱이면옷사는데고민할필요없어요,5,0
쇼핑하는데 부자된느낌!!,5,0
개발자님 최고당!,5,0
항상 좋은가격에 구매합니다^^ 자주이용 할게요,5,0
걱정없어요 잘쓰고잇음 짱짱좋아요!!! 이만한앱이없어요,5,0
하나하나 다 들어갈수 있고 좋아요,5,0
좋아요^^,5,0
굿뜨! 잘쓸거같아요!,5,0
와 이렇게 싸도 되는건가?진짜너무좋은앱인것같아요,5,0
어케 진짜 좋은것들만잇어!!!!,5,0
다 사고싶다~~~~~ㅜㅜ 괜찮네요.,5,0
너무 좋아여!!!! 인생앱인듯,5,0
어마어마하게 예쁨 좋음,5,0
사고싶엇던거 거의 다 삼,5,0
시간가는줄모르겟어요^^,5,1
왜안들어가지죠?쟁일 썬그라스만 보이네,1,1
진짜 싼데에.. 남는거 있으세요?,5,0
좋네요^^~,5,0
오 다른곳보다 괜찮은데?좋아,5,1
조아요,5,0
레앍굴탬,3,0
확실히 저렴하네요,5,0
최고에요,5,0
가격이 신세계다..,5,0
최고입니다 최고,5,0
오 이거 물건인데?,5,0
굿굿,3,0
좋다,5,0
요기서 다 삿당,5,0
신상품이 매일 업뎃되서 좋네요ㅎㅎ 제동생한테 소개해주니까 제 동생이 이오플울 좋아하게됬네요ㅎㅎ,5,6
"여타 다른 쇼핑앱보다 편리하고, 여러 쇼핑몰을 비교해볼 수 있다는 게 큰 장점 같네요~~",5,0
한가지 스타일만 있는게 아니라 여러 쇼핑몰들이 있어서 그런지 스타일이 다양해서 좋아요 거의 스타일북으로 봐도 좋고 쇼핑하기도 좋네요 ^^,5,0
2일뒤면 있을 아는오빠 결혼식이 있어서 입을옷이 없어서 찾고다녔는데 스타일닷컴에서 찾게되었어요 주변사람들에게도 알려줘야겠네요~~,5,0
여러 쇼핑몰을 한눈에 보기편하고 신상품이 금방금방 올라와서 매우 만족합니다!,5,23
나가서 사는걸 별로 안좋아하는데 이 앱으로 옷을 보여주니 정말 좋다고 가르쳐달라하네요.저도 이앱으로 옷 샀는데 정말마음에 드네요.ㅎ,5,9
꼭 한번써보세요 너무좋아요!,5,2
제가 찾던 자료네요!!앞으로 유용하게 이용 하겠습니다ㅎㅎㅎ,5,21
이쁜옷들이 정말 많고 다른쇼핑몰앱들과는 다른것들도 몇가지 있어서 편리하고 좋아요!,5,0
다운받길 참 잘한거 같아요,5,1
좋아요,5,0
와우 정말 이거  하나면 옷 쇼핑은 끝장이네요.  매일 업데이트 되는 신상과 견본 스탈일만으로 자신의 개성을 마음껏 표현 할수 있을 것 같네요,5,19
매번 옷 살때 뭐 사지 고민도 많이 하고 쇼핑몰 돌아다니기 힘들었는데 이 어플은 한 번에 딱 보여주니깐 다 정리 되어있어서 제가 원하는 옷을 딱딱 볼 수있어요!!♥♥ 옵션 같은 것도 있어서 10대 20대 등 모아서 볼 수있어서 옷 사는 갓이 좀 더 편리 해진것 같아용,5,1
외우 이거 진짜 짱이네요 👍ㄹㅇ                 그리고 맨날 신상품이 업데이트되는게 제일큰 장점인거 같습니당 !자주쓸게요 감사합니다!,5,0
한눈에 볼수있고 매일 새롭게 신상품이 업데이트되서 진짜 편해요 !! 그리구 마음에 드는 쇼핑몰이랑 상품을 팔로우할수있어서 바로볼수있는게 좋아요 ♡,5,0
스타일닷컴 진짜 편하네요 한눈에 볼수있어서 정말 굳굳입니다 자주 쓸것같아요!,5,7
우선 신상품이 자주 업뎃되고 이뿐것들도 많아서 고민이 될 정도네요~ 오늘도 즐건 쇼핑했습니다!!,5,14
여러 쇼핑몰 상품과 인기 상품을 한번에 바로 볼 수 있어서 편하고 신상품도 자주 업데이트되서 좋아요!!!!,5,0
제 스타일에 맞는 옷도 찾을수 있어서 정말 좋아요,5,0
여기저기 흩어져있던 쇼핑몰들 하나하나 찾아가며 비교하는게 불편했는데 이렇게 모아서 찾게 해주시니 정말 좋아요~!! 스타일닷컴 짱~!!,5,9
일단 한눈에 보기도 편하고 내가 찾는것도  쉽게찾고  필수 앱이다   더욱 최고인점은 신상품 자주 들어온다는점,5,10
평소 옷못입기로 소문난 제가 어떤스타일옷입을지 코디되어있는옷 쉽게보고 쇼핑할수있어서 정말 스타일녀 등극했습니다 강추합니다~♡,5,5
ㅈㅇ 좋음  사실  아니다,5,0
이런앱이 있으면 진작에 알려주지..,5,0
쇼핑하기에 완전 딱인데요?ㅎ 자주이용할께요!!!,5,1
넘 좋ㅇ8요,5,4
가격도 저렴하고 핏 좋은게 많네요 인생어플 감사합니다!! 최고에요!!       굿굿 좋아요!!,5,5
옷들이 정말 이쁜거같아요!!!퀄리티도 높고!!,5,0
네 좋아요 굳굳,5,0
굿굿,5,1
좋아요,3,0
좋아요,5,0
막 촌스럽지도 않고 옷도 제스타일 이에요 두말할 필요 없는거같아요 .. 님들 후회 안할껄요  ㅋㅋㅋ 인생앱 찾앗네요 감사합니다 전쇼핑하러갈게요 ㅋㅋㅋ,5,15
여러쇼핑몰을 한번에 볼수있어서 편리하고 매일 업데이트되서 옷 보는 재미도 생기고 마음에 드는 쇼핑몰을 팔로우해서 맨날 안찾아도 되고 바로바로 볼수있어서 편리하고 좋은 앱인거 같에요^^,5,0
저는s5를 사묨중인데 중지하몄다고 계속 뜨네요. 재설치해도 마찬가지구요 밑에 분중에도 튕긴다는 분이 계셨는데 빠른 조취 부탁드리겠습니다.,1,6
어플이 아주 빠릿하고 남녀 따로 버튼이 있어 편리하고 신상 업데이트 꾸준하고 디자인 심플 세련되서 만족스러워요.,5,0
s7 엣지 쓰고 있는데 설치 후 실행하고 성별 선택하니 앱이 중지됬다고 뜨네요. 다시 드가보니 계속 중지됬다고 뜹니다. 재설치 해도 똑같네요.,1,5
남녀로 확실히 구분되어 있고 원하는 상품을 찾기 위해 필터링하기가 아주 편리합니다. 여러모로 유용하고 깔끔해서 좋습니다.,5,0
남녀 구분 잘 되어 있고 연령대별.신상도 구분되어 있고 빠릿하고 세련되서 정성스럽게 만든 쇼핑몰인것 같네요. 만족스러워요.,5,0
옷 예뻐서 자세히 볼려고 눌렀는데 쇼핑몰이 아니라 스타일닷컴 메인화면이 1개 더뜨고 그러네요..,1,2
내용이 간결하고 새련되어 보기 좋고 속도가 빠른것 같습니다.성별이 구분되어 편리하고 다양한 분류 기능이 있어 쇼핑에 더 적합하다고 판단됩니다.,5,0
함써볼라카는네 왜안들어가지노 진짜,1,0
옷 못입는거도아니고 잘입는거도 아니여서 관심없엇는데 이젠관심이 좀생기거같아요 이어플때문에!,4,0
완전 내가 찾던 앱이네! 신상품 많이 업데이트되고 인기상품 기획전도 해서 참 좋은점 이 많은 앱인것 같음,5,1
완전 좋아요 패션에 대해 몰랏는데 요즘 인기있는 패션도 알게되어서 좋네요!,5,0
옷도 정말이쁘고 굳이 쇼핑몰을 찾을필요도 없어서 정말 좋은것같아요,5,0
옷살 쇼핑물도구하고좋이요,5,2
옷 잘 입지 못하는분께!,3,0
튕긴다는 후기가 몇개가올라와있는데 개선을안하네;;;답글이라도남겨주시던가요,1,0
가격대비 좋고 물품도 여러가지한번에 볼수있어서 좋고 신상품도 금방업데이트하니 너무 좋습니다,4,1
신상품 업데이트가 빠르고 보기 쉽게 되어있어요 좋아요,5,1
아주좋은어플인거같네요,5,0
가격대비ㅋ 굿  여러가지물품을 한번에 볼수있어서좋고 신상품도 금방금방업데이트가 되서좋네요,5,14
처음 실행시킬때 여자로 선택되어잇길래 남자로 선택하니까 앱이 중지되엇다고 뜨네요 그거 해결 좀 해주세요,1,1
이앱 느~~~무좋은것 아닌가요?!좋당,5,0
너무좋습니다,5,0
강주입니다!!!,5,1
10대부터 30대까지 마음에 드는 옷을 쉽게 찾을수 있고 인기있는 스타일을 금방 찾을수 있어 좋네요~,4,3
평소 패션에 관심이 많다면 필수앱이에요.  사실 다른어플들은 여자옷만 다루는경우가 많은데 남자도 다뤄줘서 좋아요. 그리고 어플 디자인이 깔끔해서 찾아보기에도 너무쉽고 카테고리가 잘정리된느낌이드네요. 잘 이용하고있어요 ^^,5,12
"항상마음에드는쇼핑몰 찾는게조금 힘들었는데 순위로 나타나있고, 나이별,성별 나눠주니까 엄청나게유용한것같아요. 계속해서 잘쓸것같습니다!",5,18
"패션, 옷에 관심있으신분들은 꼭 다운받으시길 추천드려요!! 다른 앱에서는 항상 구별이 안되있어 아쉬웠는데 성별, 나이 등으로 구별되어있어서 편리합니다! 쇼핑몰 순위도 한눈에 볼 수 있고 깔끔해서 좋네요!",5,8
내용도 깔끔하게 직관적이고 남녀구분이 확실해서 편리하고 로딩도 빨라서 어주 좋아요. 쇼핑에 최적화되어 좋습니다.,5,0
남녀구분되어 있어 매우 편리하고 여러 쇼핑몰들을 한꺼번에 볼수 있어 만족스러워요. 빠르고 간결해서 더 좋습니다.,5,5
남녀구분이 되어있어 편리하고 최근에 본 숍도 바로 찾을수 있어 유용합니다. 디자인 이쁘고 빠르고 아주 좋아요.,5,1
쇼핑앱중비교적좋습니다.매일신상품이업데이크되서다양하네요.,5,0
재가 옷을 좋아하기는 한대 옷을 고르는걸 잘못하는편이라 옷 인기 나이 성별 등 구별되어있어서 재가 맘에들어하는 옷을 금방 찾게 되네욤!!,5,5
진짜 자기가 원하는 건 여기 다있는 듯 진짜 추천해드려요,5,0
쇼핑몰에서 여기가좋네요 종류 구별도 해서 딱 나오니까 좋아요,5,0
아주 간편하고 성별. 나이. 신상 등 여러모로 편리하게 꾸며져 있네요. 빠릿빠릿하고 유용한 어플입니다.,5,1
여러 쇼핑몰을 한 번에 볼 수 있고 매일매일 신상이 올라오니 좋아요~~ 인기상품기획전도 따로 있어서 편리하네요^^,5,1
다른데보다 가격도 저렴하고 옷들도 다 이쁘고 별5개가 아깝지 않네요. 수고하세요!,5,1
정말 편리하고좋습니다 그리고 스타일닷컴 정말  다른데와달리 스타일이 고퀄리티한것같습니다 앞으로도 잘이용할거같습니다,5,0
서비스도 다양하고 디자인도 이뻐요 연령별로 해놔서 저에게 맞는 옷을 찾기 편리한 것 같아요,5,0
옷살곳을 찾고 있었는데 다른 사이트에 비해 종류도 많고 옷도 이뻐요,5,0
정말 최고의 앱입니다. 매일 새로운 물건 때문에 더더욱 좋습니다.😀,5,0
"어플 자체도 심플하게 되어있고 보기좋게 정리해주니까 이 어플 참 편리하고 좋으네요 ㅎㅎ 옷같은 거 살땐 요 어플 요긴하게 잘 쓰일거같아요 ^^ 신상품도 매일 업데이트 되구 ,,, 스타일어플 대박나세용 ~~~~~ !!! ♡♡",5,0
남성여성수별되어잇는것도좋고 너무좋네요 패션의완벽한앱,5,0
남녀구분이 장점이고 나이별. 신상따로 구분도 아주 유용합니다. 이쁘고 간결한 쇼핑몰인것 같습니다.  만족해요.,5,1
옷도 보고 좋네요,5,0
좋아요 쇼핑몰도 다양하게 볼 수 있고 참 편리하네요  항상 잘 쓸게요!,5,0
저에게 유용하고 잘쓰고있어요 !!,5,1
진짜편리하고 짱좋아요!!,5,0
말이 필요없음. 완전 편리함.,5,1
꼭이용해보세요~ 편리하고좋아요^^,5,1
굿굿,5,1
스타일닷컴너무좋네요. 일단 여러쇼핑몰을 한번에볼수있다는게너무좋은거같네요ㅠ그리고매일업데이트되는신상품들로 나무편하게잘쓰고잇어요ㅠ 그리고인기상품기획전도있어서너무나좋네요!또 마음에드는 쇼핑몰과상품을 팔로우할수있어서 정말 편리한거같습니다 짱짱^^♡,5,0
남녀 성별로 구분도 되고 shop도 찾기 쉽고 빠릿빠릿하고 배경도 깔끔해서 보기 좋고 아주 편리합니다. 자주 이용할 것 같네요.,5,0
디자인도 깔끔하고 이쁘네요. 정돈이 잘된 느낌이고 빠릿해서 좋아요. 남성여성 구분되어 있어 좀 더 편리하고 세련되어 보입니다.,5,0
가을코디 같은거도 알수있어서 좋고 쇼핑몰알아보기도 편하고 간단해서 너무좋아요~~ 참고되어서 너무좋네요,5,0
여러 쇼핑몰을 한번에 볼 수 있어서 편리해요~ 이제 이곳저곳 돌아다닐 필요가 없겠네요!!  그리구 자주가는 쇼핑몰을 팔로우해 놓으면 신상품 업뎃될때 알림도 와서 좋아요~ 여러모로 편리한 어플입니당^^ 앞으로 계속 이용할께요~,5,1
남녀 구분된 점과 심플하고 세련된 이미지가 만족스럽고 로딩도 빨라서 불편함이 없어요. 이만한 어플은 별로 없다고 봅니다.,5,4
어플이 빠릿빠릿하고 정보도 많고 남녀 구분도 되어있어 아주 편리합니다.디자인도 이쁘네요.,5,0
패션에 관심이 없으신 분은 패션에 관심이 생기도록 도와주고 패션에 관심이 있으시면 분은 유용한 정보를 많이 얻어가실 거에요,5,0
좋네요. 옷 종류도 많고 가격도 비싸지 않아서  부담되지 않네요. 짱이에요,5,0
보기 좋고 깔끔하고 빠르고 남녀 구분되어 있어서 여러모로 편리하네요. 아주 개성이 있고 차별화된 어플이네요. 만족합니다.,5,0
"가격별 ,제품별로  깔꿈하게 잘 구분 되어있어요  사용하기  편리하고  좋아요",5,0
디자인 깔끔하고 남성 여성 확실히 구분시켜주고 로딩이 아주 빠른 점이 맘에 드네요. 좋은 어플인 것 같습니다. 만족해요.,5,0
스타일 닷컴 덕분에 옷 스타일링 하기 편해졌어요. 여러 쇼핑몰도 한꺼번에 편하게 볼수있고 신상도 자주 업데이트 되고 인기상품 기획전도 있고 마음에 드는 쇼핑몰과 상품도 팔로우 할 수 있는정말 좋은 앱입니다. 추천드려요.,5,5
이건 다른곳과는다르게 여러쇼핑몰을 한번에 볼 수 있어  편리하네요! 며칠기다리지않고 매일 신상품이 업데이트되어서 쇼핑할맛도납니다ㅎㅎ맘에드는 쇼핑몰이나 상품은 팔로우할 수 있어서 너무좋아요&gt;&lt; 진짜 패피를위한앱!,5,0
여러 쇼핑몰에서 인기 있는 상품들을 한눈에 볼수 있어서 쇼핑할때 좋네요 ㅎㅎ,5,1
너무 짱 좋아요 여러 의상들을 한번에 볼수 있어서 좋구요!! 특히 팔로우 마음에 무지 들어요 한번 다운 받아보세요 완전 강추 입니다!!,5,0
